account_id,video_id,video_title,channel_name,video_duration,date_of_publication,number_of_views,number_of_likes,video_category,number_of_dislikes,number_of_comments
account9,FgdHZqSIO1M,いろいろ痛すぎるビスマス包丁と結晶,圧倒的不審者の極み!,PT15M3S,2019-01-19T13:00:03Z,22869497,375631,28,,29870
account9,WYagO-nup6c,Does cyanide actually smell like almonds?,NileRed,PT21M55S,2020-10-31T17:51:50Z,3337659,145651,28,,18750
account9,uUU3jW7Y9Ak,Making transparent wood,NileRed,PT43M55S,2021-04-30T19:51:51Z,10213866,354929,28,,20615
account9,LL3kVtc-4vY,Recreating one of the weirdest reactions,NileRed,PT19M15S,2018-07-16T18:05:57Z,4714546,141417,28,,8059
account9,t557dPspLxo,カルーアミルクを作っていたら牛乳から包丁が作れると思った,圧倒的不審者の極み!,PT21M39S,2018-12-15T12:03:13Z,11488951,204048,28,,26003
account9,qm9N_SPhwR8,砂を電子レンジでチンして包丁を作る男とコーナーダッシュする女,圧倒的不審者の極み!,PT20M46S,2020-06-13T12:30:09Z,10563207,272998,28,,22505
account9,hV2YiRewrpk,ゴミ箱を買ったので、UVレジンの包丁を作る,圧倒的不審者の極み!,PT23M43S,2018-11-23T13:37:51Z,36215265,514027,28,,37611
account9,MFCNUvFEVFY,卵にシャンプーとリンスをしたら卵から包丁が生まれました,圧倒的不審者の極み!,PT12M40S,2020-08-15T12:15:01Z,2515684,105984,28,,9583
account9,JslxPjrMzqY,Going supercritical.,NileBlue,PT19M53S,2020-01-24T22:46:58Z,2927089,102315,28,,4715
account9,gxwWf-MfZVk,the secret world of the japanese swordsmith,kore kojitsu,PT48M59S,2014-10-16T08:20:04Z,11419803,93033,28,,4604
account9,37Kn-kIsVu8,Turning old jewelry into pure gold bars,NileRed,PT31M23S,2019-05-29T21:12:32Z,26306810,538030,28,,26645
account9,yBIeavntc5U,除菌抗菌滅菌殺菌チョコレート包丁。食べたら歯が抜けまーす,圧倒的不審者の極み!,PT25M6S,2021-05-30T13:45:06Z,3162289,105644,28,,9133
account9,BkZSS5sOLWw,Making Damascus steel from fishing hooks.,shurap,PT10M,2021-12-13T14:00:06Z,101889,4764,28,,374
account9,TSIcwMdbCec,HYDRAULIC PRESS VS METALS,Crazy Hidraulic Press,PT5M21S,2021-12-15T10:00:11Z,56502,1585,24,,66
account9,t557dPspLxo,カルーアミルクを作っていたら牛乳から包丁が作れると思った,圧倒的不審者の極み!,PT21M39S,2018-12-15T12:03:13Z,11488951,204048,28,,26003
account9,qm9N_SPhwR8,砂を電子レンジでチンして包丁を作る男とコーナーダッシュする女,圧倒的不審者の極み!,PT20M46S,2020-06-13T12:30:09Z,10563207,272998,28,,22505
account9,ZHkzvQbYpqk,World’s Largest Lighter Restoration ASMR,TysyTube Restoration,PT18M47S,2020-06-16T11:51:38Z,27311553,344893,27,,8718
account9,t557dPspLxo,カルーアミルクを作っていたら牛乳から包丁が作れると思った,圧倒的不審者の極み!,PT21M39S,2018-12-15T12:03:13Z,11488951,204048,28,,26003
account9,24LC_2r3dwU,このヤンデレは豆腐を包丁にして帰りを待ちます,圧倒的不審者の極み!,PT16M41S,2019-09-28T14:09:16Z,7595697,151441,28,,17946
account9,qm9N_SPhwR8,砂を電子レンジでチンして包丁を作る男とコーナーダッシュする女,圧倒的不審者の極み!,PT20M46S,2020-06-13T12:30:09Z,10563207,272998,28,,22505
account9,FgdHZqSIO1M,いろいろ痛すぎるビスマス包丁と結晶,圧倒的不審者の極み!,PT15M3S,2019-01-19T13:00:03Z,22869497,375631,28,,29870
account9,XMxbzDG_RUg,Hard working Old Man Repairing Big Tractor Tire Using Aluminium Mold |,Amazing Technology,PT30M38S,2021-12-14T10:09:53Z,99463,549,28,,51
account9,uA57xOX3AvA,錆びた斧を会心の一撃が出せるように改造したい,圧倒的不審者の極み!,PT17M13S,2019-04-14T13:30:04Z,5626833,83043,28,,9167
account9,AMYKQc-MVIM,世界一硬いパンの包丁はカーボンより硬い,圧倒的不審者の極み!,PT15M52S,2019-03-03T12:32:26Z,8407267,121349,28,,15192
account9,pFG-nXUw6Ts,これは海水からセメントを取り出し包丁が作れるレシピ,圧倒的不審者の極み!,PT17M34S,2020-01-05T11:45:01Z,8527041,174608,28,,17265
account9,BkZSS5sOLWw,Making Damascus steel from fishing hooks.,shurap,PT10M,2021-12-13T14:00:06Z,101889,4764,28,,374
account9,hV2YiRewrpk,ゴミ箱を買ったので、UVレジンの包丁を作る,圧倒的不審者の極み!,PT23M43S,2018-11-23T13:37:51Z,36215265,514027,28,,37611
account9,5jz6Tq5fpLU,Forging JAPANESE Naginata out of Rusted Pipe WRENCH - Samurai Weapon,Random Hands,PT17M25S,2021-12-13T11:47:00Z,270551,12163,26,,565
account9,yBIeavntc5U,除菌抗菌滅菌殺菌チョコレート包丁。食べたら歯が抜けまーす,圧倒的不審者の極み!,PT25M6S,2021-05-30T13:45:06Z,3162289,105644,28,,9133
account9,WZJ7nSdIbwk,菌を愛したら増えすぎたので包丁にして差し上げました,圧倒的不審者の極み!,PT19M32S,2019-10-26T13:00:11Z,3928812,84719,28,,11417
account9,NkWhNVWx0VU,偽装卵はミニチュア包丁に最適です,圧倒的不審者の極み!,PT21M21S,2019-06-02T12:00:04Z,4038659,77546,28,,8974
account9,uA57xOX3AvA,錆びた斧を会心の一撃が出せるように改造したい,圧倒的不審者の極み!,PT17M13S,2019-04-14T13:30:04Z,5626833,83043,28,,9167
account9,FJ25zZhKNZs,Vintage 1960'S Japanese TV LIGHTER 🔥  Restoration,TheFabrik,PT16M9S,2021-12-11T13:00:07Z,51992,1678,26,,146
account9,AMYKQc-MVIM,世界一硬いパンの包丁はカーボンより硬い,圧倒的不審者の極み!,PT15M52S,2019-03-03T12:32:26Z,8407267,121349,28,,15192
account9,QHCJ_ITAry8,KFCと粘土で作られた包丁。ケンタッキーフライドチキン配合,圧倒的不審者の極み!,PT13M14S,2018-10-07T15:18:13Z,4122614,59455,28,,10767
account9,t557dPspLxo,カルーアミルクを作っていたら牛乳から包丁が作れると思った,圧倒的不審者の極み!,PT21M39S,2018-12-15T12:03:13Z,11488951,204048,28,,26003
account9,qm9N_SPhwR8,砂を電子レンジでチンして包丁を作る男とコーナーダッシュする女,圧倒的不審者の極み!,PT20M46S,2020-06-13T12:30:09Z,10563207,272998,28,,22505
account9,XMxbzDG_RUg,Hard working Old Man Repairing Big Tractor Tire Using Aluminium Mold |,Amazing Technology,PT30M38S,2021-12-14T10:09:53Z,99463,549,28,,51
