account_id,video_id,video_title,channel_name,video_duration,date_of_publication,number_of_views,number_of_likes,video_category,number_of_dislikes,number_of_comments
account7,Wd2QzQnNNmk,Губка Боб Квадратные Штаны | 2 сезон 3 серия |  Nickelodeon Россия,Nickelodeon Россия,PT22M55S,2018-11-22T13:00:09Z,39289189,220238,24,,0
account7,MbPvgSRv3nc,Черепашки-ниндзя | 1 сезон 23 серия | Nickelodeon,Nickelodeon Россия,PT22M38S,2018-07-06T13:00:03Z,21343373,97310,24,,0
account7,D4pOabuaigw,Мультики про машинки. Приключении Винтика и его друзей - Все серии подряд – Сборник,Хочу знать все!,PT44M47S,2017-08-01T14:00:00Z,5351870,22147,1,,0
account7,sbyf-40SDQM,"Мультики про машинки. Винтик и его друзья, зимние серии подряд",Хочу знать все!,PT26M6S,2018-01-09T13:15:16Z,17105186,57189,1,,0
account7,kDWVJFcePqo,Крокодил Крокки и Ян Спасают Друзей - Мультики Для Малышей - Сборник,Биби Шоу,PT1H5M49S,2019-12-10T14:00:14Z,13025716,41444,22,,0
account7,LXuz6YSQ6AA,Мультики про машинки. Мультик про Винтика и его друзей - новые приключения. Сборник,Хочу знать все!,PT40M19S,2017-11-14T14:00:13Z,10544759,21284,1,,0
account7,Wd2QzQnNNmk,Губка Боб Квадратные Штаны | 2 сезон 3 серия |  Nickelodeon Россия,Nickelodeon Россия,PT22M55S,2018-11-22T13:00:09Z,39289189,220238,24,,0
account7,hF3SPkkNLHU,Губка Боб Квадратные Штаны | 1 сезон 1 серия | Nickelodeon Россия,Nickelodeon Россия,PT23M39S,2017-08-01T18:04:08Z,34356412,164673,22,,0
account7,6rMW0M9VfZ8,Губка Боб Квадратные Штаны | 1 сезон 6 серия | Nickelodeon Россия,Nickelodeon Россия,PT22M47S,2017-12-01T16:00:00Z,22100192,106588,24,,0
account7,RS1dim1fL74,Губка Боб Квадратные Штаны | Большие улиточные гонки | Nickelodeon Россия,Nickelodeon Россия,PT21M54S,2021-11-26T08:00:15Z,1669556,15645,24,,0
account7,yYKW1DOsDE0,Три богатыря: Ход конем | Мультфильмы для всей семьи,Три богатыря,PT1H8M37S,2016-11-16T13:17:05Z,87177216,324944,1,,0
account7,auah2c0Uhcw,Спонч Боб | Только один кусочек | Nickelodeon Россия,Nickelodeon Россия,PT20M49S,2021-12-10T13:03:26Z,943645,12664,24,,0
account7,EgS-8lvI5Jg,Губка Боб Квадратные Штаны | 1 сезон 13 серия | Nickelodeon Россия,Nickelodeon Россия,PT22M36S,2018-05-25T13:00:02Z,15863038,89258,24,,0
account7,SLxlbY8DeEs,Губка Боб Квадратные Штаны | Лучшие моменты с Красти Крабом | Nickelodeon Россия,Nickelodeon Россия,PT44M21S,2020-05-14T13:00:27Z,9450790,70016,24,,0
account7,bptNc5h0Mik,Губка Боб Квадратные Штаны | 1 сезон 7 серия | Nickelodeon Россия,Nickelodeon Россия,PT23M44S,2017-12-22T16:00:04Z,12111460,65403,24,,0
account7,gkvqelGQ0do,Губка Боб Квадратные Штаны  | Как по телику | Полный эпизод | Nickelodeon Россия,Nickelodeon Россия,PT23M11S,2021-02-12T08:00:07Z,5459979,41619,24,,0
